Size,No. of variables,No. of clauses,Performance Time
2x2,256,576,11.27808200009167
2x2,256,576,12.550100000575185
2x2,256,576,11.273169999942183
3x3,3321,7776,106.71919099986553
3x3,3321,7776,78.95878400001675
3x3,3321,7776,65.04651599936187
4x4,19456,46080,352.69928700011224
4x4,19456,46080,360.6573240002617
4x4,19456,46080,344.22581799980253
5x5,75625,180000,1350.1644759997725
5x5,75625,180000,1340.3473110003397
5x5,75625,180000,1350.8715329999104
6x6,228096,544320,3969.9054069994017
6x6,228096,544320,4019.6443489994854
6x6,228096,544320,4047.896381999366
7x7,578641,1382976,10992.016669999808
7x7,578641,1382976,10176.698370000347
7x7,578641,1382976,10832.873140000738
